"offset","length","en","id"
"87468","174","An Infirmary is critical when it comes to dealing with disease and injury; a Workshop is necessary to keep your gear in working order; a Latrine helps stave off disease, etc.","Rumah Sakit sangat penting dalam menangani penyakit dan cedera; sebuah Bengkel diperlukan untuk menjaga perlengkapan Anda tetap berfungsi; jamban membantu mencegah penyakit, dll."
"87643","34","We could set up a watchtower here.","Kita bisa mendirikan menara pengawal di sini."
"87678","59","Custom paint job on this sport utility vehicle. Seats four.","Pekerjaan cat khusus pada kendaraan sport ini. Kursi empat."
"87738","25","128 HERO Charley Marshall","128 PAHLAWAN Charley Marshall"
"87764","34","Requires SYNDICATED ADVICE COLUMN.","Membutuhkan KOLOM SARAN SINDIKASI."
"87799","7","Level 7","tingkat 7"
"87807","83","Y'know, you're not the only person who feels like shit. We all got a bum deal here.","Kau tahu, kamu bukan satu-satunya orang yang merasa seperti orang bodoh. Kita semua mendapat masalah besar di sini."
"87891","38","Try not to attract too much attention.","Cobalah untuk tidak menarik terlalu banyak perhatian."
"87930","71","If you're not too busy feeling sorry for yourself, follow me for a sec.","Jika Anda tidak terlalu sibuk mengasihani diri sendiri, ikuti saya sebentar."
"88002","96","The Titanic of the road, cruising (at low speeds) in a style that only 1987 Detroit could offer.","Titanic jalanan, melaju (dengan kecepatan rendah) dengan gaya yang hanya bisa ditawarkan Detroit tahun 1987."
"88099","28","This is ... a Spartan Sword!","Ini adalah... Pedang Spartan!"
"88128","108","Swine flu, Corporal? Are you trying to tell me the thing that kicks off the Book of Revelation is swine flu?","Flu babi, Kopral? Apakah Anda mencoba memberi tahu saya bahwa hal yang memulai Kitab Wahyu adalah flu babi?"
"88237","22","Fight fire with steel.","Lawan api dengan baja."
"88260","44","Can't say this is the safest I've ever felt.","Tidak bisa mengatakan ini adalah yang paling aman yang pernah saya rasakan."
"88305","48","We might actually unfuck ourselves at this rate.","Kita mungkin akan mengacaukan diri kita sendiri jika terus begini."
"88354","50","%d added to Supply Locker. (Passable food supply.)","%d ditambahkan ke Loker Pasokan. (Persediaan makanan lumayan.)"
"88405","23","120 HERO Alan Gunderson","120 PAHLAWAN Alan Gunderson"
"88433","90","Could be so much more than just another zombie-killing grunt. If only people would listen.","Bisa jadi lebih dari sekadar dengusan pembunuh zombie. Andai saja orang mau mendengarkan."
"88524","13","Tattoo Artist","Artis Tato"
"88538","47","Yeah, well, faith's not exactly my strong suit.","Ya, iman bukanlah kelebihanku."
"88586","41","Hold on, Eldridge. You'll have your time.","Tunggu sebentar, Eldridge. Anda akan punya waktu."
"88628","8","Dalhgren","Dalhgren"
"88637","32","Just need a couple more minutes.","Hanya perlu beberapa menit lagi."
"88670","8","Brittany","Brittany"
"88679","108","Black Friday, recon just picked up movement near the last known position of one of Doctor Horn's colleagues.","Black Friday, pengintaian baru saja mendeteksi pergerakan di dekat posisi terakhir salah satu rekan Dokter Horn yang diketahui."
"88795","27","Don't forget to be awesome!","Jangan lupa menjadi luar biasa!"
"88830","60","In the meantime, I think I'm going to look around some more.","Sementara itu, saya pikir saya akan melihat-lihat lagi."
"88891","14","Random injury!","Cedera acak!"
"88906","29","TRUST LOST (Ally Set on Fire)","KEPERCAYAAN HILANG (Sekutu Terbakar)"
"88936","21","Wouldn't mind a hand.","Tidak keberatan membantu."
"88958","29","Jesus Christ, that was close.","Ya Tuhan, itu sudah dekat."
"88988","30","We should try to make contact.","Kita harus mencoba melakukan kontak."
"89019","33","Man, they're all over that thing.","Sobat, mereka semua mengurus hal itu."
"89053","37","Press [aim.reload] to unjam your gun.","Tekan [aim.reload] untuk melepaskan senjata Anda."
"89091","34","EXPIRED: Trouble at the Courthouse","KEDALUWARSA: Masalah di Gedung Pengadilan"
"89126","8","Controls","Kontrol"
"89135","44","White paint pen on black construction paper.","Pena cat putih pada kertas konstruksi hitam."
"89180","18","Assault Rifle: RFB","Senapan Serbu: RFB"
"89199","97","I like a fight as much as the next guy, but maybe we should try using a little stealth next time.","Saya menyukai pertarungan seperti halnya orang berikutnya, tapi mungkin lain kali kita harus mencoba menggunakan sedikit sembunyi-sembunyi."
"89297","45","Unhappy community members create instability.","Anggota masyarakat yang tidak bahagia menciptakan ketidakstabilan."
"89343","31","Muffin angels forty, ten mikes.","Malaikat muffin empat puluh, sepuluh mikrofon."
"89375","126","Yeah, well... when I was a kid, my best friend Sally? She lived in this house. I was so jealous, I always wanted to live here.","Ya, baiklah... saat aku masih kecil, sahabatku Sally? Dia tinggal di rumah ini. Saya sangat iri, saya selalu ingin tinggal di sini."
"89502","32","Passed on a job from Ray Santos.","Melewati pekerjaan dari Ray Santos."
"89535","56","Let's hope we don't have to do that again any time soon.","Semoga saja kita tidak perlu melakukan hal itu lagi dalam waktu dekat."
"89592","42","It ain't hard to find. Lemme see your map.","Tidak sulit untuk menemukannya. Biarkan aku melihat petamu."
"89635","18","People are Strange","Orang-orang itu Aneh"
"89660","58","Something cropped up with the Garden. Uh. No pun intended.","Sesuatu muncul dengan Taman. Eh. Tidak ada permainan kata-kata yang dimaksudkan."
"89719","18","No, not this time.","Tidak, tidak kali ini."
"89738","36","ADD MISSION. Find out where Carl is.","TAMBAHKAN MISI. Cari tahu di mana Carl berada."
"89775","39","Umm. Yeah. Sorry. Too much information.","Hmm. Ya. Maaf. Terlalu banyak informasi."
"89815","23","I'll see what I can do.","Saya akan melihat apa yang bisa saya lakukan."
"89839","67","I'd like to see her try to cut through a horde and save a civilian.","Saya ingin melihatnya mencoba menerobos gerombolan dan menyelamatkan warga sipil."
"89907","20","ABORTED: Accusations","DIBATALKAN: Tuduhan"
"89928","51","That high-value asset is on the way to the capital.","Aset bernilai tinggi itu sedang dalam perjalanan menuju ibu kota."
"89980","17","Back in business.","Kembali dalam bisnis."
"89998","264","Hadley is the son of Matthew Westen, the sole proprietor of Westen Allied Industries. With most government services out of commission, we're relying on Westen's shipping business (Westen Food Services) to keep supply lines running. And that means rescuing his son.","Hadley adalah putra Matthew Westen, pemilik tunggal Westen Allied Industries. Karena sebagian besar layanan pemerintah tidak lagi beroperasi, kami mengandalkan bisnis pengiriman Westen (Westen Food Services) untuk menjaga jalur pasokan tetap berjalan. Dan itu berarti menyelamatkan putranya."
"90263","64","Looks like I'm stuck minding the home front till this arm heals.","Sepertinya aku terjebak mengurus bagian depan rumah sampai lengan ini sembuh."
"90328","103","Walking? Please. Just reach under the steering column, touch the brown wire to the red ones, and voila.","Sedang berjalan? Silakan. Cukup raih bagian bawah kolom kemudi, sentuhkan kabel coklat ke kabel merah, dan voila."
"90432","48","Food, medicine, ammunition, materials, and fuel.","Makanan, obat-obatan, amunisi, material, dan bahan bakar."
"90481","122","[firm but sympathetic] Look, I know this is a shitty deal, but you can't just crawl into a corner and hide from the world.","[tegas tapi simpatik] Dengar, aku tahu ini kesepakatan yang buruk, tapi kamu tidak bisa begitu saja merangkak ke sudut dan bersembunyi dari dunia."
"90604","28","We need to search this area.","Kita perlu mencari di area ini."
"90633","14","Aluminum Pipes","Pipa Aluminium"
"90648","26","42 GENERIC Tom Cassavettes","42 Kaset Tom GENERIK"
"90675","57","Let's see to those barricades before more of 'em show up.","Mari kita lihat barikade itu sebelum lebih banyak lagi yang muncul."
"90733","31","Hey. I have some supplies here?","Hai. Saya punya persediaan di sini?"
"90765","45","Don't suppose you'd be willing to take us in?","Jangan kira Anda bersedia menerima kami?"
"90811","157","I've always been a private person. Even when my husband was still alive, I always had my own office I could disappear into, just to have some time to myself.","Saya selalu menjadi orang yang tertutup. Bahkan ketika suamiku masih hidup, aku selalu punya kantor sendiri yang bisa kutinggalkan, hanya untuk punya waktu sendiri."
"90969","55","How'd you get through that so easily? What's the trick?","Bagaimana kamu bisa melewatinya dengan mudah? Apa triknya?"
"91028","45","Take out the Screamers, and the rest is easy.","Kalahkan Screamers, dan sisanya mudah."
"91074","98","I, um ... look, I know what you're thinking, and I swear, we had no idea this was going to happen.","Saya, um... dengar, saya tahu apa yang Anda pikirkan, dan saya bersumpah, kami tidak menyangka hal ini akan terjadi."
"91173","91","Be advised that I have authorized all troops to respond to such measures with lethal force.","Mohon diperhatikan bahwa saya telah memberi wewenang kepada seluruh pasukan untuk menanggapi tindakan tersebut dengan kekuatan yang mematikan."
"91265","23","HISTORY: Nearly Starved","RIWAYAT: Hampir Kelaparan"
"91289","91","Things are starting to sound pretty urgent. I don't know how long our friends can hold out.","Segalanya mulai terdengar sangat mendesak. Aku tidak tahu berapa lama teman kita bisa bertahan."
"91381","21","Built In Medical Area","Dibangun Di Area Medis"
"91403","121","It could be that ""Cleo"" knows our original deployment plan, but hasn't been keeping up with current events. Highroad out.","Bisa jadi ""Cleo"" mengetahui rencana penerapan awal kami, namun belum mengikuti perkembangan terkini. Jalan raya keluar."
"91529","37","You know anything about this Ray guy?","Anda tahu sesuatu tentang pria Ray ini?"
"91586","13","A good setup.","Pengaturan yang bagus."
"91607","50","Need to head home and rest. Food's not gonna help.","Harus pulang dan istirahat. Makanan tidak akan membantu."
"91658","54","Otherwise, I'm going to take inventory of what's here.","Jika tidak, saya akan menginventarisasi apa yang ada di sini."
"91713","18","Siege in progress!","Pengepungan sedang berlangsung!"
"91732","39","Wonder what she's got for us this time?","Ingin tahu apa yang dia punya untuk kita kali ini?"
"91772","56","Well fuck it, can we just shoot it, set it off that way?","Sialan, bisakah kita menembaknya, mematikannya seperti itu?"
"91829","65","We're going to need a few things to complete this upgrade. - %1$s","Kami memerlukan beberapa hal untuk menyelesaikan peningkatan ini. - %1$s"
"91895","49","At this rate, we could start our own lumber yard.","Kalau terus begini, kita bisa memulai tempat penebangan kayu kita sendiri."
"91945","11","Born Leader","Lahir sebagai Pemimpin"
"91957","65","The best part of you dribbled down the crack of your momma's ass.","Bagian terbaik dari dirimu menggiring bola ke celah pantat ibumu."
"92023","38","Oh. Was it... I mean... did he suffer?","Oh. Apakah itu... maksudku... apakah dia menderita?"
"92062","44","TIP: Press [execute] to shove an enemy away.","TIPS: Tekan [execute] untuk mengusir musuh."
"92107","10","Good luck.","Semoga beruntung."
"92118","24","Destroy the Feral Zombie","Hancurkan Zombi Liar"
"92143","49","Let's find a vehicle than can get us out of here.","Ayo cari kendaraan yang bisa membawa kita keluar dari sini."
"92193","107","Plans to be the next big underground music sensation on the Internet, and being in the Army is his gimmick.","Berencana untuk menjadi sensasi musik underground besar berikutnya di Internet, dan menjadi tentara adalah gimmicknya."
"92301","50","DECLINE MISSION. You can gather it yourself later.","MISI PENURUNAN. Anda bisa mengumpulkannya sendiri nanti."
"92352","19","Research at Library","Penelitian di Perpustakaan"
"92372","60","My handler had me collecting tissue samples from the freaks.","Pawangku menyuruhku mengumpulkan sampel jaringan dari orang-orang aneh itu."
"92433","17","No room for that.","Tidak ada ruang untuk itu."
"92451","37","Rest in peace, you gross old bastard.","Beristirahatlah dengan tenang, dasar bajingan tua yang menjijikkan."
"92489","37","Maybe this ain't a total clusterfuck.","Mungkin ini bukan sebuah kekacauan total."
"92527","84","%1$s was in a bad place, but %2$s managed to talk them out of doing anything stupid.","%2$s berada dalam kondisi yang buruk, tetapi %2$s berhasil membujuk mereka untuk tidak melakukan hal bodoh."
"92612","14","Clear the Area","Kosongkan Areanya"
"92627","19","Not 'til I need it.","Tidak sampai aku membutuhkannya."
"92647","84","It's too bad we don't have an infirmary. As it is I'm gonna be laid out for a while.","Sayang sekali kita tidak punya rumah sakit. Karena itu aku akan dibaringkan untuk sementara waktu."
"92732","16","We're done here.","Kita sudah selesai di sini."
"92749","15","-10 Friendship.","-10 Persahabatan."
"92765","14","Quentin Barnes","Quentin Barnes"
"92780","41","I'll distract him, you bash his skull in.","Aku akan mengalihkan perhatiannya, kamu memukul tengkoraknya."
"92822","19","Zeds on your right!","Zeds di sebelah kananmu!"
"92842","23","I can't find my friend.","Saya tidak dapat menemukan teman saya."
"92883","25"," that's a lot of zombies."," itu banyak zombie."
"92909","50","That's a few zeds that won't be a problem anymore.","Itu beberapa hal yang tidak akan menjadi masalah lagi."
"92967","20","11 MIL Lt Cat Moreno","11 MIL Lt Kucing Moreno"
"92988","8","Emmanuel","Imanuel"
"92997","21","COMPLETED: Supply Run","SELESAI: Pengoperasian Pasokan"
"93019","157","Alan's been saying we should move to someplace bigger, but my dad's a carpenter and he says we could build, like, a dorm room or something to get more space.","Alan bilang kami harus pindah ke tempat yang lebih besar, tapi ayahku seorang tukang kayu dan dia bilang kami bisa membangun, misalnya, kamar asrama atau sesuatu untuk mendapatkan lebih banyak ruang."
"93177","24","How many zeds ARE there?","Berapa banyak zed yang ada di sana?"
"93202","21","I got this one, boss!","Saya dapat yang ini, bos!"
"93224","10","How is he?","Bagaimana kabarnya?"
"93235","46","Almost done. There's a lot of good stuff here.","Hampir selesai. Ada banyak hal bagus di sini."
"93289","35","So I guess we call off the medivac?","Jadi menurutku kita membatalkan medivac?"
"93325","42","Can she reconstruct her mentor's research?","Bisakah dia merekonstruksi penelitian mentornya?"
"93368","84","Cut off an arm, dig out their eyes, rip off their balls ... the zeds keep on coming.","Potong lengannya, cabut matanya, sobek bolanya... zed terus berdatangan."
"93453","8","Solvents","Pelarut"
"93462","11","Screwdriver","Obeng"
"93474","146","Needless to say, this kind of explosion is going to raise seven different kinds of hell, so if you've got any unfinished business, now's the time.","Tentu saja, ledakan semacam ini akan menimbulkan tujuh jenis neraka yang berbeda, jadi jika Anda punya urusan yang belum selesai, sekaranglah saatnya."
"93621","133","I don't know what happened, %1$s tried to get %2$s to put on these sunglasses and suddenly it was like Monday Night Wrestling. - Lily","Entah apa yang terjadi, %2$s mencoba meminta %2$s memakai kacamata hitam tersebut dan tiba-tiba terasa seperti Monday Night Wrestling. - Bunga bakung"
"93755","40","New guns in the Farmhouse supply locker.","Senjata baru di loker persediaan Rumah Pertanian."
"93796","22","Not hurting right now.","Tidak sakit saat ini."
"93823","14","Got a problem?","Ada masalah?"
"93838","13","Cancel Action","Batalkan Tindakan"
"93852","24","MISSION: Help Doc Hanson","MISI: Bantu Dok Hanson"
"93877","42","We'll need MATERIALS to fortify the walls.","Kita membutuhkan BAHAN untuk membentengi tembok."
"93920","19","80 REF Theresa Snow","80 REF Theresa Salju"
"93945","16","No, YOU shut up!","Tidak, KAU tutup mulut!"
"93962","83","Recon is telling us that another supply crate has landed at those Cleo coordinates.","Recon memberitahu kita bahwa peti perbekalan lain telah mendarat di koordinat Cleo tersebut."
"94053","11","Zombie Mask","Topeng Zombi"
"94069","91","Don't know that I'd call it a problem, exactly. I'd just advise you to keep your eyes open.","Tidak tahu apakah saya akan menyebutnya masalah, tepatnya. Saya hanya menyarankan Anda untuk tetap membuka mata."
"94161","26","All you fuckers gonna pay!","Semua yang kalian keparat akan bayar!"
"94188","18","Clear the Building","Kosongkan Gedung"
"94207","44","It takes a little longer before I get tired.","Dibutuhkan sedikit lebih lama sebelum saya lelah."
"94252","11","That sucks.","Itu menyebalkan."
"94264","99","We shouldn't just move anywhere. We need to find a suitable location if we're going to move. - %1$s","Kita tidak boleh berpindah kemana saja. Kita perlu mencari lokasi yang cocok jika kita ingin pindah. - %1$s"
"94364","24","RUMORS: Disease Epidemic","RUMOR: Epidemi Penyakit"
"94389","36","Come on. We're going to take a walk.","Ayolah. Kita akan jalan-jalan."
"94426","20","ATTITUDE: Pissed Off","SIKAP: Kesal"
"94447","17","Telescoping Baton","Tongkat Teleskop"
"94465","53","Just looking after our customer base. You understand.","Hanya menjaga basis pelanggan kami. Anda mengerti."
"94519","47","Some folks out there could still use your help.","Beberapa orang di luar sana masih membutuhkan bantuan Anda."
"94567","78","We should think about building an outpost. Might help slow down these attacks.","Kita harus berpikir untuk membangun pos terdepan. Mungkin membantu memperlambat serangan ini."
"94646","29","Uhh, they're coming this way.","Uhh, mereka datang lewat sini."
"94676","49","If we work together, we'll find a way to survive.","Jika kita bekerja sama, kita akan menemukan cara untuk bertahan hidup."
"94726","58","Kill 50 Zombies with Rifles. (Breakdown Level 2 or Higher)","Bunuh 50 Zombi dengan Senapan. (Kerusakan Level 2 atau Lebih Tinggi)"
"94785","64","But I'm digging through his drawers, looking for some duct tape.","Tapi aku sedang merogoh-rogoh lacinya, mencari lakban."
"94850","87","At least we know that next time, you will follow my orders to the letter. Highroad out.","Setidaknya kami tahu bahwa lain kali, Anda akan mengikuti perintah saya sampai tuntas. Jalan raya keluar."
"94938","38","An angry bull, this packs a big punch.","Seekor banteng yang marah, ini merupakan pukulan besar."
"94977","67","How about years of experience on the beat, huh? How's that grab ya?","Bagaimana dengan pengalaman bertahun-tahun dalam bidang ini, ya? Bagaimana kabarnya ya?"
"95045","120","The local medical examiner had been consulting with Thomas Horn on some unusual pathology discovered with recent deaths.","Pemeriksa medis setempat telah berkonsultasi dengan Thomas Horn mengenai beberapa patologi tidak biasa yang ditemukan pada kematian baru-baru ini."
"95167","120","Now he and a case full of samples are on their way to a lab. It may be a long shot, but we need every chance we can get.","Sekarang dia dan satu kotak penuh sampel sedang dalam perjalanan ke laboratorium. Ini mungkin sulit, tapi kami membutuhkan setiap peluang yang ada."
"95288","135","Yeah, but you know they'll change all the details, add some bullshit love story and a zombie-killing ninja badass to boost the ratings.","Ya, tapi tahukah Anda mereka akan mengubah semua detailnya, menambahkan kisah cinta omong kosong dan ninja pembunuh zombie yang tangguh untuk meningkatkan peringkat."
"95424","32","Everything's coming up Milhouse!","Semuanya akan terjadi Milhouse!"
"95457","10","Incendiary","Pembakar"
"95474","66","Thanks. Don't know what possessed 'em to run off like that. I just","Terima kasih. Entah apa yang membuat mereka kabur seperti itu. saya hanya"
"95543","41"," I just hope nothing terrible's happened."," Aku hanya berharap tidak terjadi hal buruk."
"95585","67","Spoken like a man who's never been to a wedding in Trumbull County.","Cara bicaranya seperti pria yang belum pernah menghadiri pesta pernikahan di Trumbull County."
"95653","60","Got my rifle, got my moonshine, got my target. Life is good.","Dapatkan senapanku, dapatkan minuman kerasku, dapatkan targetku. Hidup itu baik."
"95714","106","The bodies were clearly dead. No heartbeat, nothing. But there was this ... strange behavior in the blood.","Mayat-mayat itu jelas sudah mati. Tidak ada detak jantung, tidak ada apa-apa. Tapi ada... perilaku aneh di dalam darahnya."
"95821","123","Really? How many days did you spend sitting in an empty shelter with a pot of soup, just in case a hungry person showed up?","Benar-benar? Berapa hari yang Anda habiskan untuk duduk di tempat penampungan kosong dengan sepanci sup, untuk berjaga-jaga jika ada orang lapar yang muncul?"
"95945","36","Let me see if I can play it for you.","Biarkan saya melihat apakah saya bisa memainkannya untuk Anda."
"95982","67","TIP: Press [xi_dpad_down] (D-pad) use your radio to call in favors.","TIPS: Tekan [xi_dpad_down] (D-pad) gunakan radio Anda untuk meminta bantuan."
"96050","25","You're a life saver, Doc.","Anda adalah penyelamat hidup, Dok."
"96076","19","56 REF Lincoln Voss","56 REF Lincoln Voss"
"96096","29","I should save that for later.","Saya harus menyimpannya untuk nanti."
"96126","38","Goddammit! Eat shit you dead bastards!","Sialan! Makanlah, dasar bajingan mati!"
"96165","51","Well, guess we better get settled in. Thanks again.","Baiklah, sebaiknya kita segera menetap. Sekali lagi terima kasih."
"96217","46","Damn, I guess I better stay on your good side.","Sial, kurasa sebaiknya aku tetap berada di sisi baikmu."
"96264","18","Rifle: 597 Varmint","Senapan: 597 Anak nakal"
"96283","8","Spatulas","Spatula"
"96292","107","Dammit! This place was supposed to have a closet full of first aid kits! That son of a bitch lied to me....","Sial! Tempat ini seharusnya memiliki lemari yang penuh dengan kotak P3K! Bajingan itu berbohong padaku...."
"96400","44","Beloved by police units, light and powerful.","Dicintai oleh unit polisi, ringan dan kuat."
"96445","8","God, no!","Ya Tuhan, tidak!"
"96454","68","...say again, we have enemy contact. Send QRF to this location ASAP.","...katakan lagi, kita ada kontak musuh. Kirim QRF ke lokasi ini secepatnya."
"96530","24","Supply Lines: Fuel Found","Jalur Pasokan: Bahan Bakar Ditemukan"
"96555","89","We found one of our missing community members. Unfortunately, the zeds got to them first.","Kami menemukan salah satu anggota komunitas kami yang hilang. Sayangnya, zeds berhasil mendapatkan mereka terlebih dahulu."
"96645","43","Beats being shoved into a locker, at least.","Setidaknya, ketukan dimasukkan ke dalam loker."
"96705","27","78 GENERIC Carlos Hernandez","78 GENERIK Carlos Hernandez"
"96733","58","If you do, you're on your own. I'm not rescuing you twice.","Jika ya, Anda sendirian. Aku tidak akan menyelamatkanmu dua kali."
"96792","22","We need anything here?","Kami butuh sesuatu di sini?"
"96821","43","Economical, .22 caliber version of the Uzi.","Uzi versi kaliber .22 yang ekonomis."
"96865","35","How long has it been since you ate?","Sudah berapa lama kamu tidak makan?"
"96901","18","Huh. What's it do?","Hah. Apa fungsinya?"
"96920","93","Affirmative, soldier. You just lost another asset. Frankly, you're doing more harm than good.","Afirmatif, prajurit. Anda baru saja kehilangan aset lain. Sejujurnya, Anda melakukan lebih banyak kerugian daripada kebaikan."
"97014","26","Why would I waste my time?","Mengapa saya membuang-buang waktu saya?"
"97041","54","A lot of folks are really struggling with all of this.","Banyak orang yang benar-benar bergumul dengan semua ini."
"97096","19","11 STORY Jess Cohen","11 CERITA Jess Cohen"
"97116","182","Finally killed that one-armed bastard that killed Frankie and the rest way back at the start. I know they say these things can't think, but I swear that thing was stalking us. - %1$s","Akhirnya membunuh bajingan berlengan satu yang membunuh Frankie dan yang lainnya di awal. Aku tahu mereka bilang makhluk-makhluk ini tidak bisa berpikir, tapi aku bersumpah makhluk itu mengintai kita. - %1$s"
"97299","21","Ask about Ammo Caches","Tanyakan tentang Cache Amunisi"
"97321","54","Things got a bit hairy, and now we're stuck. Help out?","Segalanya menjadi sedikit rumit, dan sekarang kami terjebak. Membantu?"
"97383","33","Dangerous groups of roaming zeds.","Kelompok zed berkeliaran yang berbahaya."
"97417","168","He was sent in to research this disease and find a few answers. Now all he wants to do is find a way out. His hazmat suit is the ultimate defense against freak attacks.","Dia dikirim untuk meneliti penyakit ini dan menemukan beberapa jawabannya. Sekarang yang ingin dia lakukan hanyalah mencari jalan keluar. Pakaian hazmatnya adalah pertahanan terbaik melawan serangan aneh."
