"offset","length","text"
"93621","133","I don't know what happened, %1$s tried to get %2$s to put on these sunglasses and suddenly it was like Monday Night Wrestling. - Lily"
"93755","40","New guns in the Farmhouse supply locker."
"93796","22","Not hurting right now."
"93823","14","Got a problem?"
"93838","13","Cancel Action"
"93852","24","MISSION: Help Doc Hanson"
"93877","42","We'll need MATERIALS to fortify the walls."
"93920","19","80 REF Theresa Snow"
"93945","16","No, YOU shut up!"
"93962","83","Recon is telling us that another supply crate has landed at those Cleo coordinates."
"94053","11","Zombie Mask"
"94069","91","Don't know that I'd call it a problem, exactly. I'd just advise you to keep your eyes open."
"94161","26","All you fuckers gonna pay!"
"94188","18","Clear the Building"
"94207","44","It takes a little longer before I get tired."
"94252","11","That sucks."
"94264","99","We shouldn't just move anywhere. We need to find a suitable location if we're going to move. - %1$s"
"94364","24","RUMORS: Disease Epidemic"
"94389","36","Come on. We're going to take a walk."
"94426","20","ATTITUDE: Pissed Off"
"94447","17","Telescoping Baton"
"94465","53","Just looking after our customer base. You understand."
"94519","47","Some folks out there could still use your help."
"94567","78","We should think about building an outpost. Might help slow down these attacks."
"94646","29","Uhh, they're coming this way."
"94676","49","If we work together, we'll find a way to survive."
"94726","58","Kill 50 Zombies with Rifles. (Breakdown Level 2 or Higher)"
"94785","64","But I'm digging through his drawers, looking for some duct tape."
"94850","87","At least we know that next time, you will follow my orders to the letter. Highroad out."
"94938","38","An angry bull, this packs a big punch."
"94977","67","How about years of experience on the beat, huh? How's that grab ya?"
"95045","120","The local medical examiner had been consulting with Thomas Horn on some unusual pathology discovered with recent deaths."
"95167","120","Now he and a case full of samples are on their way to a lab. It may be a long shot, but we need every chance we can get."
"95288","135","Yeah, but you know they'll change all the details, add some bullshit love story and a zombie-killing ninja badass to boost the ratings."
"95424","32","Everything's coming up Milhouse!"
"95457","10","Incendiary"
"95474","66","Thanks. Don't know what possessed 'em to run off like that. I just"
"95543","41"," I just hope nothing terrible's happened."
"95585","67","Spoken like a man who's never been to a wedding in Trumbull County."
"95653","60","Got my rifle, got my moonshine, got my target. Life is good."
"95714","106","The bodies were clearly dead. No heartbeat, nothing. But there was this ... strange behavior in the blood."
"95821","123","Really? How many days did you spend sitting in an empty shelter with a pot of soup, just in case a hungry person showed up?"
"95945","36","Let me see if I can play it for you."
"95982","67","TIP: Press [xi_dpad_down] (D-pad) use your radio to call in favors."
"96050","25","You're a life saver, Doc."
"96076","19","56 REF Lincoln Voss"
"96096","29","I should save that for later."
"96126","38","Goddammit! Eat shit you dead bastards!"
"96165","51","Well, guess we better get settled in. Thanks again."
"96217","46","Damn, I guess I better stay on your good side."
"96264","18","Rifle: 597 Varmint"
"96283","8","Spatulas"
"96292","107","Dammit! This place was supposed to have a closet full of first aid kits! That son of a bitch lied to me...."
"96400","44","Beloved by police units, light and powerful."
"96445","8","God, no!"
"96454","68","...say again, we have enemy contact. Send QRF to this location ASAP."
"96530","24","Supply Lines: Fuel Found"
"96555","89","We found one of our missing community members. Unfortunately, the zeds got to them first."
"96645","43","Beats being shoved into a locker, at least."
"96705","27","78 GENERIC Carlos Hernandez"
"96733","58","If you do, you're on your own. I'm not rescuing you twice."
"96792","22","We need anything here?"
"96821","43","Economical, .22 caliber version of the Uzi."
"96865","35","How long has it been since you ate?"
"96901","18","Huh. What's it do?"
"96920","93","Affirmative, soldier. You just lost another asset. Frankly, you're doing more harm than good."
"97014","26","Why would I waste my time?"
"97041","54","A lot of folks are really struggling with all of this."
"97096","19","11 STORY Jess Cohen"
"97116","182","Finally killed that one-armed bastard that killed Frankie and the rest way back at the start. I know they say these things can't think, but I swear that thing was stalking us. - %1$s"
"97299","21","Ask about Ammo Caches"
"97321","54","Things got a bit hairy, and now we're stuck. Help out?"
"97383","33","Dangerous groups of roaming zeds."
"97417","168","He was sent in to research this disease and find a few answers. Now all he wants to do is find a way out. His hazmat suit is the ultimate defense against freak attacks."
"97586","35","We're still gathering what we need."
"97622","69","Obliged to you. Thought them things had my number for sure this time."
"97692","26","How does now work for you?"
"97719","22","RV: Needs Disinfecting"
"97742","75","Maybe that's a good thing, right? Maybe it means this thing is almost over?"
"97818","91","Yeah, I did. I got you a pony. Yeah, but then it tried to eat me, so I shot it in the face."
"97910","59","Good news, our people just kicked some serious zombie butt."
"97978","130","Took me almost 20 minutes to find a first aid kit yesterday. If it had been a more severe injury, somebody could have died. - %1$s"
"98109","28","We should do one more sweep."
"98138","111","Lead's pretty easy, and you can make gunpowder if you're not afraid of your own piss, but brass? That's tricky."
"98250","25","Look for Places to Search"
"98276","26","We should have it covered."
"98303","27","Destroy the Armored Zombies"
"98331","32","Well, that's one way to stop it."
"98364","23","1 Outpost - PMC Snipers"
"98388","17","What's the point?"
"98411","41","Good to know folks here have got my back."
"98453","39","Shit, might as well get this over with."
"98493","22","Clear 'em out, people!"
"98516","21","Engineering Textbooks"
"98538","42","Pre-1964 models are very valuable. Scoped."
"98581","40","Then I'll answer any questions you want."
"98622","124","Our scouts are reporting a lot of zombies closing in on your location. Might want to tell your sentries to wake the hell up."
"98747","74","How would you feel about helping us do a little zed-related housecleaning?"
"98822","18","You're kidding me!"
"98841","114","We think those materials may be useful. Recover them, along with any personnel you find at the site. Doghouse out."
"98956","7","Bee Wax"
"98964","95","Unlocks the ability to create Chemical Incendiaries. REQUIRES A MUNITIONS SHOP and MEDICAL LAB."
"99060","119","Highroad Actual to Black Friday. We've lost contact with some university faculty trying to get out of the city on foot."
"99180","27","I'm happy to do what I can."
"99228","29","I could use some backup here!"
"99258","26","Like you took care of Eli?"
"99285","21","Grenade Launcher Ammo"
"99307","28","ADVICE: Build a Medical Area"
"99336","23","Octo Sedan Sport Series"
"99360","45","We've got some more rounds of .44 ammunition."
"99406","54","Don't see why we don't just take whatever you brought."
"99461","50","Let's head to a neutral location for the exchange."
"99528","22","Has a job for someone."
"99551","25","Help destroy a Juggernaut"
"99581","32","Could use some time to cool off."
"99614","34","I think I found us an opportunity."
"99649","36","Get out of here! This stuff is mine."
"99686","23","Back from a supply run."
"99710","16","Time to move on."
"99727","140","You're scared, I get that, but you can't let fear own you. We keep going because we have to. You give up and the zeds win. It's that simple."
"99868","147","Harlan, can you pick up a carton of milk at the Tartan Mart next time you're out? I want to bake a cake for Lucy's birthday. Thanks! - Sandy xoxoxo"
"100016","10","Microscope"
"100027","30","Come get us when you're ready."
"100058","62","Sitting around the base isn't making the situation any better."
"100128","28","Not till I rest up a little."
"100157","42","Seems like everyone's been on edge lately."
"100200","14","BUILT: Library"
"100215","34","Want to help clear an infestation?"
"100250","31","SURVIVAL TACTICS: Zombie Hordes"
"100282","102","You have any idea how much of a living hell %2$s made my life? Should have done this years ago. - %1$s"
"100385","43","Brought home some building materials. -%1$s"
"100429","25","MISSION: Fork in the Road"
"100455","24","HURT: Serious Blood Loss"
"100480","49","TIP: Press [ui_click] to set or clear a waypoint."
"100530","26","That should do it for now."
"100563","219","Look around! Civilization has gone down in flames, people are turning on each other like jackals around half a zebra carcass, zombies are probably gonna be the only species of human left on the planet in a few years...."
"100783","66","Just sorry your reward for that looks like death by super-cholera."
"100858","23","Watch that right flank!"
"100882","47","New steps in engineering, pistol configuration."
"100930","30","This is the only way out. %1$s"
"100961","16","Well that's odd."
"100986","33","You see a gun in my fuckin' hand?"
"101020","8","Nichelle"
"101029","21","Do you need any help?"
"101051","33","Oh God, I don't want to die here!"
"101085","17","This one's clear."
"101103","85","The SKS Prepper rifle and the Folding Axe have been delivered into our supply locker."
"101189","65","Lost mine trying to bust a zombie skull back on the second night."
"101255","12","Howdy doody!"
"101268","65","You know, rifling through things like that? That's noisy as hell."
"101334","118","So, wait a minute. What's the government's response to all this? Haven't they sent in the National Guard or something?"
"101453","121","I don't know about you, but I miss the comforts of modern life. You know, like being able to see after the sun goes down."
"101575","59","Defensive positions everybody. We're about to have company."
"101635","52","We should try to spot the hordes before they see us."
"101688","55","Pretty big step. Sure you want to go through with this?"
"101744","32","Gotta learn to use a suppressor."
"101777","8","Bed Rest"
"101786","11","Behind you!"
"101798","58","Oh yeah, here you go. Yeah, my pack was too heavy anyways."
"101857","103","All right, I think I know where I stuck his notes. How many times did I tell him to clean out his crap?"
"101961","53","I think one of them was even wearing an Army uniform."
"102015","29","Trade our Ammo for some Fuel?"
"102045","17","Over here, hurry!"
"102063","33","I hope this is worth the trouble."
"102097","99","Look, I just... I just can't go back there. Not yet. If I don't bring in my quota, my ass is toast."
"102197","456","I never meant to... hell, I never thought I was even capable of something like that. I guess you never really know what you're capable of until you're three days out from your last meal and some kid grabs the last can of tuna fish out from under you, huh? Learned a lot of things that day. Like how it feels to crush the life out of somebody's throat. I don't even know who I'm writing this note to. God? Myself? That kid? Hell, whoever you are, I'm sorry."
"102654","31","Hey, you wanted me to check in?"
"102686","43","Okay, I admit it, I'm impressed. You happy?"
"102730","10","Follow me."
"102741","104","But we've got to have each others' backs. Together we can survive this shit. On our own, we're done for."
"102856","34","So how'd you and Eli meet, anyway?"
"102891","29","You aren't near any supplies!"
"102921","14","The Enthusiast"
"102936","19","COMMERCE: Biodiesel"
"102956","58","MEDICINE RESOURCE. A stack of over-the-counter medication."
"103015","8","Eruzione"
"103024","44","Even tried to convince me to get a pit bull."
"103069","40","Look, I really don't have time for this."
"103110","80","PERSONAL SKILL. Now, let's everybody just calm down and talk this through, okay?"
"103191","35","Let's see if this is worth my time."
"103235","65","TIP: Radio home using [ul_radio_menu] to relocate your home base."
"103301","34","Thanks, I think I can make it now."
"103336","28","Fitted with a metal bracket."
"103365","12","Rifle: 10/22"
"103378","37","You can't let 'em grab you like that!"
"103416","105","We've got too many rookies around here. We need a place to train people so shit like this doesn't happen."
"103522","23","44 GENERIC Duane Harlow"
"103546","15","Disarm the Nuke"
"103562","107","Yeah. Heard a few of their goons hit the gas station outside town, found a couple survivors holed up there."
"103670","25","INCIDENT: Horde Encounter"
"103710","31","Pistol Specialization Improved!"
"103742","51","I didn't come here to talk about my feelings, okay?"
"103794","34","Local high school English teacher."
"103829","145","We're taking heavy losses! Tell the helo to turn back. Say again, turn back! Tell my family I -- [cut to static for a few seconds, then fade out]"
"103975","27","SURVIVAL TACTICS: MultiKill"
"104007","42","We can convert some of our food into fuel."
"104050","20","Pastor Will is sick."
"104071","30","Contact Highroad via Sat-Comms"
"104102","13","Caffine Pills"
"104116","89","Attention all civilians currently squatting in this godforsaken valley. This is the Army."
"104214","25","They're breaking through!"
"104240","13","BUILT: Garden"
"104254","54","Last time I saw anything like that was in Afghanistan."
"104309","43","Might as well take care of this batch, too."
"104353","64","TIP: Your top survival needs are FOOD, MEDICINE, and AMMUNITION."
"104418","63","Is probably a little drunk right now. (Reduced Health and Wits)"
"104482","13","I'm not sure."
"104496","24","What's that on the left?"
"104521","37","A simple blade with a single purpose."
"104559","58","A workshop to focus on making explosives and incendiaries."
"104618","14","Resource Cache"
"104633","8","Florence"
"104642","15","Distilled Water"
"104658","33","What? No, please... please don't."
"104699","27","I'm feeling kind of...lost."
"104727","60","What kind of a person turns a gun on someone they live with?"
"104788","65","It was a long time ago. Least it spared her from seeing all this."
"104854","31","ADVICE: Upgrade to Machine Shop"
"104894","63","We could use some extra manpower to clear this infestation out."
"104958","22","Let me think about it."
"104981","19","Hey, a hiding spot."
"105006","110","Will eat anything and everything. Never seems to suffer any ill effects. (Bonus Health, Resistant to Sickness)"
"105117","19","Protect Your Friend"
"105137","9","Let's go!"
"105147","29","This isn't going to be quick."
"105177","123","Doghouse Actual to Greyhound One, I ... have images of the LZ. Looks like Greyhound Two is on site, but we have zero comms."
"105301","43","Forget it. You'd have done the same for us."
"105345","20","Move out, right now!"
"105366","55","Oh, thank god! I mean, that's good news, Greyhound One."
"105422","9","%+d Fame."
"105432","44","Let's hope you're more useful than you look."
"105477","73","We need help! Everybody's gone crazy, some guy freakin' mauled my friend!"
"105551","29","SURVIVAL TACTICS: Bloated Zed"
"105581","15","Everybody else "
"105599","59"," take whatever you want from our stockpiles. After what you"
"105661","53","ve been through, you deserve it. Good luck out there."
"105715","34","Black pen on a yellow sticky-note."
"105750","28","Whenever you're ready, boss."
"105779","71","Next person that tries to take what's mine gets worse than that. - %1$s"
"105851","9","Dog Lover"
"105861","28","Danforth has been destroyed."
"105890","38","You okay? Come on, we gotta get going."
"105929","67","If we don't get some guns, the next attack just might overwhelm us."
"105997","34","Come on, come on... where are you?"
"106032","56","Aw, no, no, no, this is bad, this is really fucking bad!"
"106089","26","MISSION: Search and Rescue"
"106122","32","INCIDENT: Fight in the Community"
"106155","80","This modern firearm is the spiritual successor to the great Czech gun engineers."
"106236","47","All right, Black Friday, you've got new orders."
"106284","131","Gimme some two-by-fours, a hammer and nails, and a couple of guys to keep the zombies off my back, and I'll rebuild the whole town."
"106416","33","Everybody stand back. I got this."
"106450","13","Protect Jacob"
"106464","16","Watch the front."
"106481","23","22 GENERIC Susan Friedl"
"106505","14","Rebellious Kid"
"106520","38","Did we make it? Holy shit, we made it."
"106559","27","COMPLETED: Friend In Danger"
"106587","52","I'll make it easy for you by marking it on your map."
"106640","46","It's pretty garbled. Let me see what I can do."
"106687","41","We need to make things safer around here."
"106729","25","Clear out the Infestation"
"106755","19","Time to get moving!"
"106775","46","Uh, yeah, sorry about that. I've been... busy."
"106822","23","2 STORY Wendell Higgins"
"106846","34","Zeds have a breach at Vehicle Ops!"
"106889","110","Kilo, keep Doctor Horn safe while I get Private Vincent. Do not wait for us. The doctor is your only priority."
"107000","36","Now really isn't a good time! Sorry."
"107037","14","Watch my back."
"107052","29","It's not safe! It's not safe!"
"107082","35","He seem a little... twitchy to you?"
"107118","58","I should RADIO Mickey if I need some covering fire. - %1$s"
"107177","107","All those repairs we had to make after the last attack, they really burned through our supply of materials."
"107285","68","But if we find another one, I'll show you how to strum a few chords."
"107354","22","The sooner the better."
"107377","81","I just... I wanted to leave something behind. For the people that didn't make it."
"107459","16","High Value Asset"
"107476","22","It's nice to get away."
"107499","13","Talk to Jacob"
"107513","17","Save Game Deleted"
"107538","29","Catalogued today's hot spots."
"107568","23","This, this is too much."
"107592","71","Whatever fertilizer we're using, it's working. That last crop was huge."
"107664","48","We're not opening up until the zombies are gone."
"107713","44","H-Hello? Has anybody out there seen Quentin?"
"107758","45","Things haven't been going so well, have they?"
"107804","41","I got a few ideas where to look. Come on."
"107846","92","It's a dirty job, but somebody's got to do it. A clean latrine is the key to a healthy unit."
"107939","20","If we can fix it up "
"107962","36"," it might be our ticket out of here."
"107999","42","We have smoke. I say again, we have smoke."
"108042","103","I don't think Vienna Cho's going to be happy until everyone in Danforth is safe. She kinda has a point."
"108146","11","Silverstone"
"108158","24","JOURNAL: Peace and Quiet"
"108183","12","Machine Shop"
"108196","75","Try not to get yourself killed. The longer you search, the riskier it gets."
"108272","86","Good, that is ... really good. Uh ... stand by for your next assignment. Doghouse out."
"108359","40","They need you to bail them out of a jam."
"108400","106","Sometimes I feel a little lost. %1$s usually knows what we should do, though. That's a good thing. - %2$s."
"108507","38","Together, we'll get out of here alive."
"108546","41","More hands are always a good thing. -%1$s"
"108588","17","Suppressed Weapon"
"108606","16","NOTE: A Windfall"
"108623","38","Feel like getting a little mercantile?"
"108662","42","This trade should benefit everybody. -%1$s"
"108705","55","A place to resupply without traveling all the way home."
"108761","22","Any idea who they are?"
"108784","30","Fuckin A, that's a lotta zeds!"
"108815","78","I dunno, there's just something satisfying about building something, you know?"
"108894","33","Okay. We're done. I'm going home."
"108928","27","Requires HIGH ALCOHOL BEER."
"108956","33","It's good to see a friendly face."
"108990","40","Yeah! Now that's what I'm talking about!"
"109031","16","Better hurry up."
"109048","9","Infirmary"
"109058","28","We're close. I can smell it."
"109093","135","Okay, I was a smug, elitist ""foodie"" and I'm pretty sure all my friends wanted to throttle me whenever I said the words ""dinner party."""
"109229","31","It's like I'm living the dream!"
"109261","29","Sam? What are you doing here?"
"109297","30","What about personnel, General?"
"109328","86","It isn't just about fuel for your body. A good meal can nourish the soul. (Good cook.)"
"109415","22","Does now work for you?"
"109438","69","I owe you one. Let me come with you, watch your back. Least I can do."
"109508","34","Seems like it came out of nowhere."
"109543","22","Hey, feel my forehead."
"109566","30","Zeds wiped from this location."
"109597","86","Shit, I dunno. I mean, he seems like a nice enough guy, but it was just sex, you know?"
"109684","8","Firebomb"
"109693","16","ATTITUDE: Chippy"
"109710","16","Revolver: M 1917"
"109727","28","%d Trust with the Wilkersons"
"109756","93","What part of headshot did you not understand, numbnuts? Now we gotta go and find another one."
"109850","10","Radio Room"
"109861","117","Translating for family members has produced incredible listening skills and compassion for different types of people."
"109979","28","Prevents food prep problems."
"110008","57","Well, these are about as useful as sugar pills now. -%1$s"
"110066","8","Okaaaay."
"110075","20","Shit shit shit SHIT!"
"110096","77","Delay your decision. Maybe they'll survive long enough for you to reconsider."
"110174","69","Classically trained ballet dancer from Danforth. Dancing is his life."
"110244","59","We managed to keep the asset alive until the helo got here."
"110318","24","Confirmed, no zeds here."
"110343","70","I'm guessing you found that supply drop. We'll see you back here soon."
"110414","107","Listen, whatever your problem is, you need to knock that shit off. You're starting to freak out the others."
"110522","16","Get Yo' Freak On"
"110539","26","So... we've got a visitor."
"110566","10","Melancholy"
"110577","16","Event: Ally Fled"
"110594","124","You didn't realize until now what those years at the academy were REALLY for. (Improved Shooting, Fighting, and Leadership.)"
"110719","8","Scalpels"
"110728","75","Ugh... Jesus, I think they ate them. Or... well... parts of them, at least."
"110804","38","I think I took a wrong turn somewhere."
"110843","79","I don't care what your favorite book says, hunger isn't a game. I'm out. - %1$s"
"110923","53","Corporal! Where are those tissue samples I asked for?"
"110977","33","Revolver Specialization Improved!"
"111011","16","What's going on?"
"111028","31","Trait Discovered: Live a Little"
"111060","58","So you're going up to the farm? Yeah, I'll just wait here."
"111119","90","Hope people aren't accusing me of not pulling my own weight because of this stupid injury."
"111210","31","Gonna get up high to cover you."
"111242","16","Okay, what's up?"
"111259","14","Strict Regimen"
"111274","44","You're a badass motherfucker, you know that?"
"111319","122","We now have the expertise to install cutting-edge solar collectors and backup batteries in place of our old gas generator."
"111442","60","Yeah! Wait ... how do you know my name? Did my dad send you?"
"111503","44","Didn't think we'd actually survive that one."
"111548","94","The door will make less noise. Or, hey, you could do it like a total fucking idiot. Up to you."
"111643","25","Roofing tool, very tough."
"111669","76","Posit one one lima november nine nine bravo six one papa. [message end tone]"
"111746","95","Decided not to question the Wilkersons about whether or not they've been robbing people. - %1$s"
"111842","21","Strength Training Bat"
"111864","26","COMPLETED: Lay of the Land"
"111891","8","Fighting"
"111900","31","You Didn't Hear This From Me..."
"111934","10","Bore Brush"
"111945","27","Dropping off some supplies "
"111982","44","Selfless actions are helping keep the peace."
"112035","25","Bonus XP for Hack n Slash"
"112061","128","If this was a random mutation, we'd've seen it one time and that's it. But no, we see Feral after Feral, and then another Feral."
"112190","84","Just didn't expect him to complain so much. Brought a couple hordes in on top of me."
"112275","16","Illness Recovery"
"112292","15","Unassign Person"
"112308","19","Increase FPS by 5%."
